deal_id,creator_id,brand,category,format,campaign_month,deal_value_usd
D0001,C060,PayPilot,Gaming,Short,2024-03,2706.47
D0002,C020,CoinFlow,Food,Dedicated Video,2024-05,1824.45
D0003,C033,ZenLiving,Food,Livestream,2024-09,33514.83
D0004,C036,UrbanEats,Beauty,Livestream,2025-06,500
D0005,C028,VoltEnergy,Tech,Integration,2024-02,14614.23
D0006,C040,VoltEnergy,Beauty,Integration,2024-08,17452.08
D0007,C052,PureSkin,Beauty,Integration,2024-09,36049.46
D0008,C015,PayPilot,Lifestyle,Dedicated Video,2025-10,15411.14
D0009,C022,FitForge,Finance,Dedicated Video,2024-04,776.53
D0010,C008,PixelPlay,Lifestyle,Livestream,2025-07,500
D0011,C024,TrailGear,Lifestyle,Livestream,2024-03,56718.73
D0012,C036,NovaTech,Beauty,Integration,2024-07,500
D0013,C020,AeroFit,Food,Short,2024-07,759.52
D0014,C043,PixelPlay,Gaming,Dedicated Video,2024-10,2340.03
D0015,C010,PureSkin,Gaming,Dedicated Video,2024-02,8714.86
D0016,C010,ByteBank,Gaming,Dedicated Video,2024-04,14276.9
D0017,C030,PayPilot,Gaming,Integration,2025-03,536.3
D0018,C029,PureSkin,Fitness,Integration,2025-12,500
D0019,C018,VoltEnergy,Fitness,Livestream,2024-03,24359.93
D0020,C027,SnackHouse,Gaming,Short,2025-06,14722.07
D0021,C031,CoinFlow,Lifestyle,Dedicated Video,2024-12,500
D0022,C028,PayPilot,Tech,Livestream,2024-01,11851.11
D0023,C002,SnackHouse,Beauty,Livestream,2025-07,7825.21
D0024,C018,GlowLab,Fitness,Livestream,2024-09,29865.91
D0025,C049,AeroFit,Gaming,Dedicated Video,2024-08,500
D0026,C039,PixelPlay,Food,Dedicated Video,2024-06,930.43
D0027,C005,PeakFuel,Fitness,Integration,2024-04,4348.04
D0028,C033,VoltEnergy,Food,Short,2024-01,29448.76
D0029,C012,ZenLiving,Beauty,Short,2025-08,984.5
D0030,C016,LumaBeauty,Lifestyle,Livestream,2025-07,525.87
D0031,C018,NovaTech,Fitness,Short,2025-06,10957.27
D0032,C006,PayPilot,Tech,Short,2024-08,500
D0033,C022,CloudNest,Finance,Short,2025-11,500
D0034,C018,GlowLab,Fitness,Short,2024-04,25649.12
D0035,C036,CoinFlow,Beauty,Short,2025-11,500
D0036,C056,TrailGear,Food,Livestream,2024-04,4137.76
D0037,C006,VoltEnergy,Tech,Integration,2024-04,647.75
D0038,C020,PayPilot,Food,Dedicated Video,2025-08,2712.93
D0039,C005,CoinFlow,Fitness,Integration,2024-01,3743.9
D0040,C051,TrailGear,Finance,Integration,2025-02,6539.39
D0041,C029,CoinFlow,Fitness,Dedicated Video,2025-03,500
D0042,C002,GlowLab,Beauty,Dedicated Video,2024-08,38331.12
D0043,C049,LumaBeauty,Gaming,Integration,2025-04,500
D0044,C043,LumaBeauty,Gaming,Dedicated Video,2024-06,1908.52
D0045,C017,CloudNest,Food,Short,2024-04,28239.17
D0046,C041,PureSkin,Lifestyle,Livestream,2024-02,620.59
D0047,C046,TrailGear,Lifestyle,Integration,2024-10,25707.33
D0048,C033,UrbanEats,Food,Short,2025-02,30726.87
D0049,C056,CloudNest,Food,Dedicated Video,2024-09,11704.25
D0050,C056,PureSkin,Food,Integration,2025-03,3925.16
D0051,C037,UrbanEats,Beauty,Livestream,2024-08,4510.53
D0052,C032,UrbanEats,Finance,Dedicated Video,2024-05,5160.2
D0053,C027,LumaBeauty,Gaming,Integration,2024-03,29075.2
D0054,C041,ByteBank,Lifestyle,Livestream,2025-06,500
D0055,C049,AeroFit,Gaming,Dedicated Video,2025-03,500
D0056,C011,ZenLiving,Lifestyle,Integration,2024-03,500
D0057,C017,TrailGear,Food,Dedicated Video,2025-03,80002.7
D0058,C013,SnackHouse,Food,Livestream,2025-04,2229.36
D0059,C018,MetaMart,Fitness,Dedicated Video,2025-07,85313.88
D0060,C015,GlowLab,Lifestyle,Integration,2025-08,10203.94
D0061,C020,FitForge,Food,Livestream,2024-02,1025.75
D0062,C033,PeakFuel,Food,Short,2024-06,15495.76
D0063,C010,CoinFlow,Gaming,Integration,2025-10,9329.01
D0064,C038,PureSkin,Beauty,Livestream,2025-09,500
D0065,C042,PayPilot,Tech,Dedicated Video,2025-09,5168.88
D0066,C009,ByteBank,Gaming,Livestream,2025-03,2415.0
D0067,C054,PayPilot,Food,Livestream,2025-08,500
D0068,C058,NovaTech,Tech,Short,2024-02,786.77
D0069,C004,NovaTech,Food,Short,2024-08,500
D0070,C018,LumaBeauty,Fitness,Integration,2024-05,32572.43
D0071,C002,GlowLab,Beauty,Integration,2024-09,6277.95
D0072,C047,ZenLiving,Finance,Short,2025-03,57790.46
D0073,C005,VoltEnergy,Fitness,Dedicated Video,2024-11,7031.8
D0074,C007,ZenLiving,Gaming,Dedicated Video,2025-09,2427.83
D0075,C026,ByteBank,Finance,Livestream,2025-12,15524.5
D0076,C048,VoltEnergy,Beauty,Short,2024-05,1011.5
D0077,C056,CoinFlow,Food,Dedicated Video,2024-10,8226.2
D0078,C037,CoinFlow,Beauty,Integration,2025-02,6976.33
D0079,C002,NovaTech,Beauty,Integration,2024-09,12886.98
D0080,C006,GlowLab,Tech,Integration,2025-01,537.01
D0081,C010,ByteBank,Gaming,Integration,2025-08,2607.08
D0082,C019,UrbanEats,Beauty,Livestream,2025-05,500
D0083,C049,PeakFuel,Gaming,Short,2024-10,500
D0084,C026,ByteBank,Finance,Dedicated Video,2025-02,39187.47
D0085,C026,PeakFuel,Finance,Dedicated Video,2024-11,54002.75
D0086,C026,MetaMart,Finance,Short,2025-12,20635.54
D0087,C023,ZenLiving,Fitness,Integration,2024-08,2041.37
D0088,C044,PeakFuel,Beauty,Short,2025-09,500
D0089,C020,GlowLab,Food,Livestream,2025-03,500
D0090,C029,PeakFuel,Fitness,Integration,2024-11,500
D0091,C033,GlowLab,Food,Integration,2024-02,18012.08
D0092,C051,UrbanEats,Finance,Short,2024-03,7801.64
D0093,C022,LumaBeauty,Finance,Dedicated Video,2025-07,834.24
D0094,C053,NovaTech,Gaming,Integration,2025-10,500
D0095,C024,PayPilot,Lifestyle,Short,2024-06,42163.55
D0096,C054,AeroFit,Food,Dedicated Video,2025-10,500
D0097,C047,CloudNest,Finance,Livestream,2024-02,63935.98
D0098,C058,AeroFit,Tech,Integration,2024-12,1704.44
D0099,C053,AeroFit,Gaming,Integration,2025-08,500
D0100,C018,GlowLab,Fitness,Livestream,2025-05,13061.5
D0101,C026,CloudNest,Finance,Short,2024-08,19572.89
D0102,C045,FitForge,Beauty,Integration,2025-11,540.62
D0103,C028,FitForge,Tech,Dedicated Video,2024-10,18882.46
D0104,C037,MetaMart,Beauty,Integration,2025-11,2487.22
D0105,C005,ByteBank,Fitness,Dedicated Video,2025-01,8784.92
D0106,C050,AeroFit,Lifestyle,Short,2024-05,5273.36
D0107,C052,PayPilot,Beauty,Integration,2024-03,78401.66
D0108,C031,MetaMart,Lifestyle,Short,2024-02,500
D0109,C028,VoltEnergy,Tech,Livestream,2025-12,13974.96
D0110,C006,VoltEnergy,Tech,Livestream,2025-08,673.17
D0111,C011,SnackHouse,Lifestyle,Livestream,2024-12,500
D0112,C024,SnackHouse,Lifestyle,Integration,2024-01,25764.6
D0113,C037,ByteBank,Beauty,Dedicated Video,2025-08,5007.65
D0114,C002,CloudNest,Beauty,Integration,2025-04,13533.7
D0115,C013,PeakFuel,Food,Dedicated Video,2024-05,14073.41
D0116,C036,PixelPlay,Beauty,Short,2024-10,500
D0117,C051,CloudNest,Finance,Integration,2024-08,13772.4
D0118,C034,PayPilot,Lifestyle,Livestream,2025-02,8837.14
D0119,C041,FitForge,Lifestyle,Integration,2024-05,1236.04
D0120,C058,AeroFit,Tech,Short,2024-03,771.74
D0121,C038,CoinFlow,Beauty,Integration,2024-06,500
D0122,C042,SnackHouse,Tech,Integration,2025-07,1595.42
D0123,C020,MetaMart,Food,Livestream,2024-03,900.35
D0124,C026,SnackHouse,Finance,Integration,2024-12,31486.44
D0125,C056,TrailGear,Food,Livestream,2024-08,5577.67
D0126,C032,CloudNest,Finance,Dedicated Video,2024-03,7441.7
D0127,C019,PeakFuel,Beauty,Dedicated Video,2024-04,902.57
D0128,C025,LumaBeauty,Gaming,Livestream,2025-06,500
D0129,C036,FitForge,Beauty,Short,2024-05,500
D0130,C009,CloudNest,Gaming,Short,2025-08,1690.2
D0131,C046,CloudNest,Lifestyle,Short,2025-04,22327.71
D0132,C017,PureSkin,Food,Integration,2025-12,13110.79
D0133,C003,GlowLab,Gaming,Dedicated Video,2024-07,500
D0134,C046,LumaBeauty,Lifestyle,Integration,2025-05,14958.63
D0135,C035,TrailGear,Finance,Short,2025-10,8434.41
D0136,C050,ByteBank,Lifestyle,Short,2025-11,7657.17
D0137,C037,CloudNest,Beauty,Livestream,2025-01,5362.4
D0138,C014,FitForge,Fitness,Integration,2025-06,729.33
D0139,C015,CloudNest,Lifestyle,Integration,2024-02,6634.01
D0140,C031,GlowLab,Lifestyle,Integration,2024-10,500
D0141,C059,GlowLab,Lifestyle,Integration,2025-02,48565.87
D0142,C001,UrbanEats,Finance,Short,2025-07,500
D0143,C055,PixelPlay,Finance,Livestream,2024-09,14735.17
D0144,C012,CoinFlow,Beauty,Livestream,2025-02,662.44
