creator_id,creator_name,category,subscribers,country
C001,Zoe Brooks,Finance,21031,UK
C002,Eli Rivera,Beauty,1366993,AU
C003,Nina Brooks,Gaming,12201,BR
C004,Nina Wang,Food,11938,UK
C005,Aria Silva,Fitness,511529,AU
C006,Nina Larsen,Tech,63947,US
C007,Theo Mensah,Gaming,126412,CA
C008,Ivy Okafor,Lifestyle,13366,AU
C009,Theo Nguyen,Gaming,398949,US
C010,Omar Rivera,Gaming,827301,UK
C011,Zoe Costa,Lifestyle,19629,IN
C012,Nina Haddad,Beauty,118447,US
C013,Eli Brooks,Food,694123,US
C014,Eli Brooks,Fitness,126014,IN
C015,Leo Brooks,Lifestyle,1690866,US
C016,Zoe Rivera,Lifestyle,82189,UK
C017,Lena Nguyen,Food,3479093,DE
C018,Ivy Kim,Fitness,3677741,CA
C019,Eli Haddad,Beauty,51906,AU
C020,Diego Kim,Food,143966,BR
C021,Leo Okafor,Fitness,18350,US
C022,Marco Rivera,Finance,29103,AU
C023,Ivy Haddad,Fitness,534658,BR
C024,Ravi Haddad,Lifestyle,5408159,IN
C025,Kai Costa,Gaming,70982,US
C026,Zoe Silva,Finance,3467157,BR
C027,Omar Nguyen,Gaming,3345829,US
C028,Eli Chen,Tech,1626602,IN
C029,Theo Rossi,Fitness,11388,UK
C030,Maya Rivera,Gaming,49949,DE
C031,Eli Kim,Lifestyle,15875,US
C032,Eli Silva,Finance,238956,CA
C033,Marco Nguyen,Food,3388877,BR
C034,Nina Rossi,Lifestyle,1308579,AU
C035,Ivy Costa,Finance,766736,US
C036,Lena Chen,Beauty,44835,BR
C037,Aria Rivera,Beauty,508717,US
C038,Leo Larsen,Beauty,15684,US
C039,Noah Nguyen,Food,49001,BR
C040,Noah Brooks,Beauty,1252340,DE
C041,Ravi Okafor,Lifestyle,151521,AU
C042,Ivy Patel,Tech,169191,US
C043,Lena Okafor,Gaming,147096,UK
C044,Ivy Kim,Beauty,35612,AU
C045,Diego Rivera,Beauty,64236,DE
C046,Eli Okafor,Lifestyle,3147113,US
C047,Aria Rivera,Finance,7905314,UK
C048,Noah Nguyen,Beauty,150869,AU
C049,Aria Cohen,Gaming,30022,CA
C050,Omar Wang,Lifestyle,1891799,BR
C051,Sofia Nguyen,Finance,1211669,CA
C052,Eli Patel,Beauty,6445508,IN
C053,Noah Silva,Gaming,13976,US
C054,Kai Rivera,Food,17073,US
C055,Priya Okafor,Finance,3157008,UK
C056,Maya Wang,Food,529792,BR
C057,Nina Larsen,Tech,5136273,UK
C058,Omar Costa,Tech,140533,IN
C059,Aria Costa,Lifestyle,5171653,US
C060,Sana Haddad,Gaming,362359,US
