deal_id,views,likes,comments,avg_view_pct,conversions,revenue_usd,roi
D0001,117821,6340,461,0.258,76,2740.76,1.013
D0002,28553,1330,54,0.404,54,1464.49,0.803
D0003,409861,16162,488,0.465,797,21253.56,0.634
D0004,2969,115,10,0.202,3,109.78,0.22
D0005,302806,15453,690,0.223,326,30983.72,2.12
D0006,420209,28148,2581,0.614,1710,59493.87,3.409
D0007,693946,53032,2331,0.453,2406,92168.72,2.557
D0008,437140,19371,1892,0.389,1064,50047.27,3.247
D0009,9890,317,22,0.417,16,2211.5,2.848
D0010,926,63,4,0.484,1,52.23,0.104
D0011,1101877,51414,4781,0.367,988,45775.38,0.807
D0012,8033,473,44,0.344,14,508.83,1.018
D0013,42292,1494,67,0.448,13,385.55,0.508
D0014,39455,1935,168,0.421,32,1209.51,0.517
D0015,170685,9463,701,0.475,330,13185.16,1.513
D0016,303022,18581,1462,0.271,313,13565.34,0.95
D0017,12196,823,59,0.342,13,554.38,1.034
D0018,4951,182,16,0.384,13,712.8,1.426
D0019,489159,27475,1114,0.389,802,41586.49,1.707
D0020,1155673,57025,3265,0.456,260,9400.63,0.639
D0021,4915,284,23,0.292,7,335.21,0.67
D0022,218516,4085,329,0.565,258,25452.47,2.148
D0023,181772,12903,432,0.521,495,17202.88,2.198
D0024,748890,43566,1465,0.502,1703,85583.93,2.866
D0025,3247,184,12,0.547,6,252.81,0.506
D0026,9336,618,32,0.287,3,82.26,0.088
D0027,136845,8200,570,0.219,196,11128.24,2.559
D0028,1014416,52524,5108,0.272,314,9156.53,0.311
D0029,49426,1861,90,0.497,101,3335.42,3.388
D0030,6401,199,17,0.454,15,762.89,1.451
D0031,317636,15623,1297,0.283,183,10046.52,0.917
D0032,20365,514,28,0.316,14,1385.15,2.77
D0033,9209,265,21,0.317,12,1576.36,3.153
D0034,1410064,64799,3315,0.404,1170,58500.79,2.281
D0035,34232,2118,105,0.431,33,1298.6,2.597
D0036,58692,2902,214,0.484,118,3345.52,0.809
D0037,14020,363,20,0.279,22,2015.06,3.111
D0038,59241,2518,185,0.415,109,2893.21,1.066
D0039,85770,5360,266,0.44,196,10205.26,2.726
D0040,95324,2647,128,0.446,263,38974.92,5.96
D0041,4197,154,5,0.42,11,583.5,1.167
D0042,493430,31556,3046,0.599,1818,62430.99,1.629
D0043,4822,275,23,0.418,9,353.4,0.707
D0044,20061,853,82,0.479,22,872.05,0.457
D0045,1687932,110595,7518,0.407,1135,30901.47,1.094
D0046,16876,914,55,0.4,25,1313.56,2.117
D0047,579078,44928,2799,0.407,1471,70585.06,2.746
D0048,1164266,73644,5051,0.218,729,20445.64,0.665
D0049,135422,6801,205,0.328,160,4551.61,0.389
D0050,110054,2793,190,0.318,148,3885.96,0.99
D0051,75076,2049,116,0.465,329,12204.1,2.706
D0052,69844,2027,184,0.284,128,17765.63,3.443
D0053,538357,21135,1894,0.257,660,25766.45,0.886
D0054,9031,272,25,0.619,24,1136.79,2.274
D0055,2648,114,6,0.456,3,117.89,0.236
D0056,4827,260,16,0.344,6,295.94,0.592
D0057,822086,30977,2203,0.46,1194,31761.06,0.397
D0058,42899,1644,83,0.412,65,1940.13,0.87
D0059,1443459,101323,8946,0.314,3126,162649.85,1.906
D0060,283798,10676,829,0.455,626,30813.97,3.02
D0061,13032,552,23,0.611,39,1194.97,1.165
D0062,691128,40797,3527,0.418,415,10725.65,0.692
D0063,366551,17818,1520,0.312,551,21840.7,2.341
D0064,2274,140,4,0.535,5,194.95,0.39
D0065,43574,1465,140,0.456,84,6950.95,1.345
